px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
8.46292	0.243462	-3.04035	0.0287602	0	8.46292	0.243462	8.6	0.25	-3.00029	0	0
8.36982	0.240784	-3.04035	0.0287602	-2.08167e-17	8.44818	0.251553	8.45	0.25	-3.00027	0	0
8.301	0.238804	-3.04035	0.0287602	-2.42861e-17	8.56759	0.241943	8.45	0.25	0	0	0
8.24254	0.237122	-3.04035	0.0287602	-8.1532e-17	8.45582	0.253997	8.45	0.25	0	0	0
8.19027	0.235615	-3.04035	0.0287602	-4.68375e-17	8.42544	0.254042	8.35	0.25	-1.81979	0	0
8.15499	0.234583	-3.04035	0.0287602	5.81132e-17	8.23962	0.24916	8.25	0.25	-1.81978	0	0
8.14625	0.234259	-3.04035	0.0287602	5.20417e-17	7.93286	0.188391	8.05	0.2	-3.99976	-0.99994	0
8.17036	0.234659	-3.04035	0.0287602	-8.07514e-16	7.84073	0.159858	7.85	0.15	-3.99972	-0.99993	0
8.13027	0.232691	-3.04035	0.0287602	-3.53884e-16	7.61269	0.155818	7.7	0.15	-2.99982	0	0
8.09337	0.229967	-3.04035	0.0287602	-5.63785e-17	7.54016	0.159641	7.55	0.15	-2.99982	0	0
8.0468	0.224845	-3.04035	0.0287602	1.2323e-15	7.50815	0.0953827	7.45	0.100001	-1.8165	-0.908239	0
8.05709	0.217183	-3.04035	0.0287602	-1.38713e-15	7.3426	0.0345312	7.35	0.0500011	-1.81648	-0.90823	0
8.09592	0.2013	-3.04035	0.0287602	1.02587e-15	7.20598	0.00492725	7.2	9.49949e-07	-2.72851	-0.909507	0
8.00782	0.164416	-3.04035	0.0287602	5.5149e-15	7.05406	-0.0533413	7.05	-0.0499992	-2.72849	-0.909499	0
7.91636	0.0957023	-3.04035	0.0287602	5.64392e-15	6.74585	-0.143185	6.95	-0.15	-1.81898	-1.81898	0
7.85046	-0.0286365	-3.04035	0.0287602	6.70991e-15	6.84972	-0.258748	6.85	-0.25	-1.81896	-1.81897	0
7.80301	-0.22033	-3.04035	0.0287602	2.34188e-17	6.66966	-0.346668	6.75	-0.349999	-2.00076	-2.00075	0
7.77966	-0.487098	-3.04035	0.0287602	-1.6407e-14	6.64329	-0.462604	6.65	-0.449999	-2.00076	-2.00075	0
7.81467	-0.619946	-3.04035	0.0287602	-3.33934e-15	6.60862	-0.557035	6.6	-0.549999	-0.998836	-1.99769	0
7.73339	1.35112	-3.04035	0.0287602	1.01655e-15	6.56029	-0.650892	6.55	-0.65	-0.99884	-1.99769	0
7.58585	5.64107	-3.04035	0.0287602	-3.73035e-14	6.40696	-0.842921	6.5	-0.85	-0.908747	-3.63498	0
7.36352	13.8374	-3.04035	0.0287602	-2.17829e-14	6.45805	-1.05268	6.45	-1.05	-0.908739	-3.63494	0
6.99922	28.6112	-3.04035	0.0287602	-6.75527e-14	6.38626	-1.15695	6.35	-1.15	-1.81897	-1.81898	0
6.40331	52.371	-3.04035	0.0287602	-2.60937e-14	6.25499	-1.25007	6.25	-1.25	-1.81896	-1.81896	0
5.89754	71.66	-3.04035	0.0287602	-1.02219e-14	6.43125	-1.48148	6.3	-1.45	0.909739	-3.63894	0
5.53032	84.6557	-3.04035	0.0287602	-5.05845e-15	6.36328	-1.65656	6.35	-1.65	0.909727	-3.63891	0
4.87618	108.499	-3.04035	0.0287602	1.75207e-13	6.3228	-1.81431	6.3	-1.8	-0.999494	-2.9985	0
5.06863	102.189	-3.04035	0.0287602	-4.46954e-13	6.24641	-1.95075	6.25	-1.95	-0.999489	-2.99847	0
5.83517	78.0617	-3.04035	0.0287602	2.5836e-13	6.31851	-2.10969	6.3	-2.1	0.999984	-2.99994	0
8.13591	2.37371	-3.04035	0.0287602	4.93466e-13	6.34644	-2.23829	6.35	-2.25	0.999979	-2.99994	0
12.996	-162.653	-3.04035	0.0287602	-7.23623e-14	6.32593	-2.40018	6.35	-2.4	0	-2.72613	0
17.3581	-310.696	-3.04035	0.0287602	2.01264e-12	6.34927	-2.55175	6.35	-2.55	0	-2.72611	0
21.0295	-434.047	-3.04035	0.0287602	-4.69309e-13	6.43125	-2.71878	6.4	-2.7	0.909499	-2.72851	0
20.2446	-403.025	-3.04035	0.0287602	1.1386e-12	6.43257	-2.84245	6.45	-2.85	0.909503	-2.72851	0
24.3468	-542.265	-3.04035	0.0287602	1.95539e-12	6.46536	-3.00452	6.45	-3	0	-2.99754	0
26.1533	-601.366	-3.04035	0.0287602	-8.68628e-12	6.44119	-3.14955	6.45	-3.15	0	-2.99754	0
28.6453	-684.184	-3.04035	0.0287602	-8.78332e-12	6.52249	-3.32007	6.5	-3.3	0.910402	-2.7312	0
29.0698	-695.06	-3.04035	0.0287602	-2.33676e-11	6.5453	-3.45745	6.55	-3.45	0.910402	-2.7312	0
30.0177	-724.233	-3.04035	0.0287602	-6.58719e-12	6.6358	-3.59197	6.65	-3.6	1.81722	-2.72583	0
31.7241	-779.682	-3.04035	0.0287602	-3.5691e-11	6.76011	-3.75457	6.75	-3.75	1.81721	-2.72581	0
30.8176	-744.318	-3.04035	0.0287602	2.41372e-11	6.83625	-3.92723	6.8	-3.9	0.907988	-2.72396	0
33.6455	-838.753	-3.04035	0.0287602	2.39346e-11	6.85997	-4.05805	6.85	-4.05	0.907976	-2.72393	0
32.3223	-788.88	-3.04035	0.0287602	6.61163e-11	6.86943	-4.18507	6.9	-4.2	0.909334	-2.72801	0
33.8501	-838.128	-3.04035	0.0287602	1.82381e-12	6.94332	-4.34473	6.95	-4.35	0.90933	-2.72799	0
36.7232	-934.129	-3.04035	0.0287602	5.1881e-11	7.05156	-4.49706	7	-4.45	0.910054	-1.8201	0
41.9931	-1113.44	-3.04035	0.0287602	6.85667e-11	7.04099	-4.55018	7.05	-4.55	0.910054	-1.8201	0
46.907	-1280.37	-3.04035	0.0287602	2.67028e-10	7.10252	-4.67934	7.1	-4.7	0.908302	-2.72489	0
50.8043	-1411.97	-3.04035	0.0287602	3.33182e-10	7.14735	-4.86125	7.15	-4.85	0.908297	-2.72489	0
50.0202	-1380.84	-3.04035	0.0287602	5.85566e-10	7.3138	-5.05204	7.25	-5	1.81907	-2.72861	0
51.7949	-1438.65	-3.04035	0.0287602	6.69694e-10	7.30424	-5.15404	7.35	-5.15	1.81907	-2.72861	0
53.7075	-1501.26	-3.04035	0.0287602	-3.25085e-10	7.29446	-5.23429	7.4	-5.3	0.908194	-2.7246	0
55.8926	-1573.33	-3.04035	0.0287602	-2.54864e-09	7.44737	-5.45308	7.45	-5.45	0.90819	-2.72457	0
53.9169	-1500.78	-3.04035	0.0287602	1.22005e-09	7.63082	-5.61863	7.55	-5.55	1.81974	-1.81974	0
51.6892	-1419.48	-3.04035	0.0287602	-3.43751e-10	7.64356	-5.66706	7.65	-5.65	1.81972	-1.81972	0
51.8291	-1420.46	-3.04035	0.0287602	-1.79417e-09	7.60376	-5.74774	7.7	-5.8	0.90983	-2.72951	0
51.5038	-1405.28	-3.04035	0.0287602	-3.22991e-09	7.7342	-5.95374	7.75	-5.95	0.909826	-2.72948	0
52.4629	-1435.09	-3.04035	0.0287602	1.63315e-09	7.82165	-6.06822	7.85	-6.1	1.9986	-2.9979	0
51.5655	-1400.37	-3.04035	0.0287602	1.35092e-08	7.95703	-6.24328	7.95	-6.25	1.99858	-2.99787	0
50.7553	-1368.33	-3.04035	0.0287602	2.86595e-08	8.17338	-6.44684	8.05	-6.35	1.81738	-1.81739	0
54.9519	-1510.33	-3.04035	0.0287602	6.7117e-09	8.15891	-6.45335	8.15	-6.45	1.81737	-1.81737	0
58.266	-1621.65	-3.04035	0.0287602	1.48457e-08	8.08628	-6.51855	8.2	-6.6	0.909293	-2.72787	0
58.2203	-1616.19	-3.04035	0.0287602	1.75534e-08	8.25411	-6.74791	8.25	-6.75	0.909293	-2.72787	0
60.3586	-1686.65	-3.04035	0.0287602	-2.78423e-08	8.25648	-6.78122	8.35	-6.85	1.81994	-1.81993	0
60.7012	-1694.68	-3.04035	0.0287602	-4.29743e-08	8.44494	-6.95805	8.45	-6.95	1.81993	-1.81993	0
64.5867	-1826.22	-3.04035	0.0287602	-8.09303e-08	8.39359	-7.01743	8.5	-7.1	1.00006	-3.00018	0
67.5058	-1924.17	-3.04035	0.0287602	1.55697e-07	8.54925	-7.24433	8.55	-7.25	1.00006	-3.00018	0
71.0147	-2042.61	-3.04035	0.0287602	-2.06922e-08	8.64403	-7.39047	8.65	-7.4	1.99807	-2.99712	0
76.7257	-2237.6	-3.04035	0.0287602	1.5893e-07	8.73559	-7.5421	8.75	-7.55	1.99808	-2.99712	0
81.7935	-2409.89	-3.04035	0.0287602	-2.2541e-07	8.87176	-7.71912	8.8	-7.65	0.909955	-1.8199	0
86.4794	-2568.9	-3.04035	0.0287602	3.67109e-08	8.84538	-7.75497	8.85	-7.75	0.909946	-1.81988	0
89.8067	-2681.03	-3.04035	0.0287601	1.39155e-06	8.88333	-7.88636	8.9	-7.9	0.999086	-2.9973	0
89.7155	-2674.33	-3.04035	0.0287601	-6.41908e-08	8.95966	-8.0381	8.95	-8.05	0.999095	-2.9973	0
91.1541	-2720.47	-3.04035	0.02876	2.5216e-06	8.8564	-8.01424	9	-8.15	0.909309	-1.8186	0
91.0932	-2714.47	-3.04035	0.0287601	-5.17769e-07	9.05896	-8.24314	9.05	-8.25	0.909301	-1.81859	0
88.461	-2619.45	-3.04035	0.0287601	1.11384e-06	9.17781	-8.47056	9.1	-8.4	1.0004	-3.00119	0
92.3024	-2749.46	-3.04035	0.0287609	-9.87299e-06	9.15332	-8.54857	9.15	-8.55	1.00038	-3.00117	0
92.4723	-2751.49	-3.04035	0.0287602	-3.52347e-06	9.22922	-8.6898	9.2	-8.65	0.909508	-1.819	0
98.2564	-2948.67	-3.04033	0.0287591	1.37652e-05	9.24541	-8.76863	9.25	-8.75	0.9095	-1.81899	0
102.863	-3105.3	-3.04033	0.0287597	7.17806e-06	9.37748	-9.00609	9.35	-8.95	1.99965	-3.99928	0
102.038	-3073.07	-3.0403	0.0287617	3.54999e-05	9.44703	-9.15328	9.45	-9.15	1.99964	-3.99928	0
104.443	-3153.17	-3.04028	0.0287647	4.39013e-05	9.50096	-9.25642	9.5	-9.25	0.999584	-1.99917	0
