px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
8.46292	0.243462	-3.04035	0.0287602	0	8.46292	0.243462	8.6	0.25	-3.00029	0	0
8.37298	0.240875	-3.04035	0.0287602	-1.56125e-17	8.44818	0.251553	8.45	0.25	-3.00027	0	0
8.32157	0.239396	-3.04035	0.0287602	-2.42861e-17	8.56759	0.241943	8.45	0.25	0	0	0
8.28	0.2382	-3.04035	0.0287602	-8.32667e-17	8.45582	0.253997	8.45	0.25	0	0	0
8.24047	0.237063	-3.04035	0.0287602	-1.04083e-16	8.42544	0.254042	8.35	0.25	-1.81979	0	0
8.20584	0.236067	-3.04035	0.0287602	1.5786e-16	8.23962	0.24916	8.25	0.25	-1.81978	0	0
8.17889	0.235294	-3.04035	0.0287602	5.37764e-17	7.93286	0.188391	8.05	0.2	-3.99976	-0.99994	0
8.15863	0.234724	-3.04035	0.0287602	-1.64799e-16	7.84073	0.159858	7.85	0.15	-3.99972	-0.99993	0
8.14929	0.234513	-3.04035	0.0287602	3.62557e-16	7.61269	0.155818	7.7	0.15	-2.99982	0	0
8.15701	0.235005	-3.04035	0.0287602	-2.14325e-15	7.54016	0.159641	7.55	0.15	-2.99982	0	0
8.18998	0.237304	-3.04035	0.0287602	-4.70891e-15	7.50815	0.0953827	7.45	0.100001	-1.8165	-0.908239	0
8.28265	0.245764	-3.04035	0.0287602	-7.97799e-15	7.3426	0.0345312	7.35	0.0500011	-1.81648	-0.90823	0
8.28568	0.271097	-3.04035	0.0287602	-9.5219e-15	7.20598	0.00492725	7.2	9.49949e-07	-2.72851	-0.909507	0
8.24979	0.320621	-3.04035	0.0287602	-1.22454e-14	7.05406	-0.0533413	7.05	-0.0499992	-2.72849	-0.909499	0
8.2308	0.421704	-3.04035	0.0287602	-7.20431e-15	6.74585	-0.143185	6.95	-0.15	-1.81898	-1.81898	0
8.17828	0.626763	-3.04035	0.0287602	-1.38049e-14	6.84972	-0.258748	6.85	-0.25	-1.81896	-1.81897	0
8.1942	1.01852	-3.04035	0.0287602	-1.8513e-14	6.66966	-0.346668	6.75	-0.349999	-2.00076	-2.00075	0
8.156	1.89129	-3.04035	0.0287602	-3.89966e-15	6.64329	-0.462604	6.65	-0.449999	-2.00076	-2.00075	0
8.1161	3.53164	-3.04035	0.0287602	-5.41234e-16	6.60862	-0.557035	6.6	-0.549999	-0.998836	-1.99769	0
8.02151	6.38906	-3.04035	0.0287602	-1.33522e-14	6.56029	-0.650892	6.55	-0.65	-0.99884	-1.99769	0
7.92236	11.0118	-3.04035	0.0287602	-2.5353e-14	6.40696	-0.842921	6.5	-0.85	-0.908747	-3.63498	0
8.01412	12.4055	-3.04035	0.0287602	8.55219e-15	6.45805	-1.05268	6.45	-1.05	-0.908739	-3.63494	0
8.46171	-1.83109	-3.04035	0.0287602	-4.84855e-15	6.38626	-1.15695	6.35	-1.15	-1.81897	-1.81898	0
9.24334	-25.9674	-3.04035	0.0287602	-5.67914e-14	6.25499	-1.25007	6.25	-1.25	-1.81896	-1.81896	0
10.4793	-63.1663	-3.04035	0.0287602	-1.32496e-13	6.43125	-1.48148	6.3	-1.45	0.909739	-3.63894	0
12.1687	-113.67	-3.04035	0.0287602	-9.67108e-14	6.36328	-1.65656	6.35	-1.65	0.909727	-3.63891	0
12.8584	-135.312	-3.04035	0.0287602	-5.83457e-14	6.3228	-1.81431	6.3	-1.8	-0.999494	-2.9985	0
14.5206	-188.748	-3.04035	0.0287602	-2.02406e-13	6.24641	-1.95075	6.25	-1.95	-0.999489	-2.99847	0
21.5485	-429.671	-3.04035	0.0287602	-1.26633e-13	6.31851	-2.10969	6.3	-2.1	0.999984	-2.99994	0
25.4301	-558.543	-3.04035	0.0287602	1.26918e-12	6.34644	-2.23829	6.35	-2.25	0.999979	-2.99994	0
